"BehaviorSpace results (NetLogo 5.1.0)"
"Ants.nlogo"
"experiment0"
"04/13/2017 15:27:26:811 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"evaporation-rate","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"population","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150"
"x","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"y","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24","-24"
"diffusion-rate","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"pourcentage","1","11","21","31","41","51","61","71","81","91","101","111","121","131","141","151","161","171","181","191"
"[reporter]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
"[final]","101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
"[min]","101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
"[max]","101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
"[mean]","101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
"[steps]","947","870","396","607","255","261","308","276","298","321","327","326","359","360","373","394","408","397","426","414"

"[all run data]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
,"101","111","121","131","141","151","161","171","181","191","201","211","221","231","241","251","261","271","281","291"
